DriveID,DriveLabel,Path,Depth,Type,Name,Subdirs,Files,ItemCount,FileTypes,Size,SizeUnit
CE6A70F1,Cell 9,E:\St_Tammany\IIQ\Card2,3,Folder,Card2,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\St_Tammany\IIQ\Card1,3,Folder,Card1,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\St_Tammany\JPEG,2,Folder,JPEG,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO,2,Folder,ORTHO,12,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany3Extra,3,File,Map1_ortho_SunJun08190022616083.tif,,,,>=2GB,8.87,GB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany3Extra,3,Folder,St.Tammany3Extra,0,3,3,kml:1; tfw:1; xml:1,0.01,MB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany4Extra,3,File,Map1_ortho_SunJun08190030506880.tif,,,,>=2GB,11.92,GB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany4Extra,3,File,Map1_ortho_SunJun08190030506880.tif.ovr,,,,>=2GB,5.78,GB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany4Extra,3,Folder,St.Tammany4Extra,0,3,3,kml:1; tfw:1; xml:1,0.01,MB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany5,3,File,StTamanny5_Ortho.tif,,,,>=2GB,66.81,GB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany5,3,Folder,St.Tammany5,0,1,1,xml:1,0.01,MB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany5Extra,3,File,Map1_ortho_SunJun08190051785631.tif,,,,>=2GB,7.93,GB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany5Extra,3,Folder,St.Tammany5Extra,0,3,3,kml:1; tfw:1; xml:1,0.01,MB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany6Extra,3,File,Map1_ortho_SunJun08190110896863.tif,,,,>=2GB,7.24,GB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany6Extra,3,Folder,St.Tammany6Extra,0,3,3,kml:1; tfw:1; xml:1,0.01,MB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany7Extra,3,File,Project_2025-06-13_09-36-orthomosaic.tiff,,,,>=2GB,21.92,GB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany7Extra,3,Folder,St.Tammany7Extra,0,2,2,xml:1; pdf:1,2.36,MB
